             XT               P               v             tau
3.420000000E+00 1.168742110E-03 1.460927637E-03 4.681956742E+03
3.430000000E+00 1.126789503E-03 1.408486879E-03 4.870474908E+03
3.440000000E+00 1.086214640E-03 1.357768299E-03 5.067138482E+03
3.450000000E+00 1.046977436E-03 1.308721795E-03 5.272319928E+03
3.460000000E+00 1.009038774E-03 1.261298467E-03 5.486409585E+03
3.470000000E+00 9.723604860E-04 1.215450608E-03 5.709816554E+03
3.480000000E+00 9.369053407E-04 1.171131676E-03 5.942969645E+03
3.490000000E+00 9.026370230E-04 1.128296279E-03 6.186318373E+03
3.500000000E+00 8.695201229E-04 1.086900154E-03 6.440333987E+03
3.510000000E+00 8.375201163E-04 1.046900145E-03 6.705510579E+03
3.520000000E+00 8.066033518E-04 1.008254190E-03 6.982366224E+03
3.530000000E+00 7.767370328E-04 9.709212911E-04 7.271444210E+03
3.540000000E+00 7.478892032E-04 9.348615040E-04 7.573314304E+03
3.550000000E+00 7.200287312E-04 9.000359141E-04 7.888574099E+03
3.560000000E+00 6.931252936E-04 8.664066170E-04 8.217850441E+03
3.570000000E+00 6.671493609E-04 8.339367012E-04 8.561800902E+03
3.580000000E+00 6.420721813E-04 8.025902267E-04 8.921115361E+03
3.590000000E+00 6.178657652E-04 7.723322065E-04 9.296517664E+03
3.600000000E+00 5.945028707E-04 7.431285883E-04 9.688767345E+03
3.610000000E+00 5.719569882E-04 7.149462352E-04 1.009866147E+04
3.620000000E+00 5.502023247E-04 6.877529059E-04 1.052703658E+04
3.630000000E+00 5.292137900E-04 6.615172375E-04 1.097477071E+04
3.640000000E+00 5.089669816E-04 6.362087270E-04 1.144278551E+04
3.650000000E+00 4.894381690E-04 6.117977113E-04 1.193204856E+04
3.660000000E+00 4.706042814E-04 5.882553518E-04 1.244357570E+04
3.670000000E+00 4.524428915E-04 5.655536144E-04 1.297843354E+04
3.680000000E+00 4.349322019E-04 5.436652524E-04 1.353774215E+04
3.690000000E+00 4.180510316E-04 5.225637895E-04 1.412267774E+04
3.700000000E+00 4.017788017E-04 5.022235022E-04 1.473447572E+04
3.710000000E+00 3.860955216E-04 4.826194020E-04 1.537443370E+04
3.720000000E+00 3.709817758E-04 4.637272198E-04 1.604391479E+04
3.730000000E+00 3.564187109E-04 4.455233886E-04 1.674435100E+04
3.740000000E+00 3.423880217E-04 4.279850271E-04 1.747724693E+04
3.750000000E+00 3.288719389E-04 4.110899236E-04 1.824418350E+04
3.760000000E+00 3.158532157E-04 3.948165196E-04 1.904682207E+04
3.770000000E+00 3.033151162E-04 3.791438952E-04 1.988690862E+04
3.780000000E+00 2.912414020E-04 3.640517525E-04 2.076627828E+04
3.790000000E+00 2.796163209E-04 3.495204011E-04 2.168685999E+04
3.800000000E+00 2.684245940E-04 3.355307425E-04 2.265068155E+04
3.810000000E+00 2.576514048E-04 3.220642560E-04 2.365987488E+04
3.820000000E+00 2.472823868E-04 3.091029834E-04 2.471668152E+04
3.830000000E+00 2.373036127E-04 2.966295158E-04 2.582345853E+04
3.840000000E+00 2.277015828E-04 2.846269786E-04 2.698268463E+04
3.850000000E+00 2.184632145E-04 2.730790182E-04 2.819696677E+04
3.860000000E+00 2.095758309E-04 2.619697886E-04 2.946904695E+04
3.870000000E+00 2.010271502E-04 2.512839377E-04 3.080180958E+04
